inTable$redshift,u,g,r,i,z
0.05542783,18.84365,17.21965,16.47511,16.09685,15.80235
0.0447012,19.42248,17.86149,16.97635,16.46864,16.09081
0.03121858,18.54713,17.89223,17.72205,17.60537,17.51874
0.06776565,20.16129,18.37354,17.46421,17.05164,16.70574
0.06757452,20.0808,18.49486,17.68363,17.25443,16.92446
0.05776109,18.83187,17.65903,17.20422,16.91124,16.79459
0.07105655,17.29177,15.93524,15.35744,14.98395,14.77722
0.04548072,17.3605,15.88894,15.20965,14.82382,14.55031
0.04408039,17.94515,16.05483,15.22673,14.8455,14.52867
0.07182053,18.41561,17.09477,16.42644,16.02366,15.78827
0.07729385,18.53202,16.63255,15.70805,15.26163,14.91043
0.0501656,20.39551,18.64025,17.79652,17.40108,17.09962
0.07753563,19.92541,18.99861,18.7161,18.36142,18.29977
0.08639362,18.89002,17.11627,16.25623,15.8231,15.52927
0.05854344,18.72812,17.27275,16.56468,16.14238,15.84239
0.05306069,18.66256,16.72843,15.87128,15.47685,15.13785
0.02595062,17.14027,15.25931,14.40309,13.98571,13.65549
0.05584606,18.20774,16.90721,16.31785,15.95812,15.72443
0.08101672,19.46131,18.1637,17.49372,17.0925,16.82677
0.03896382,18.83654,17.56425,17.1757,16.91827,16.73198
0.07152259,19.42133,18.1447,17.56576,17.21119,17.03308
0.05084064,17.10653,15.29675,14.41671,13.98353,13.62797
0.04826833,20.20502,19.05275,18.69199,18.54211,18.42167
0.05160363,19.84426,18.41087,17.85327,17.5361,17.38034
0.09572633,18.57629,17.27363,16.65792,16.3187,16.13074
0.08791665,20.1755,18.36401,17.42526,16.99649,16.65045
0.04641702,18.21241,16.80815,16.15269,15.79674,15.48798
0.04756482,19.60865,18.20381,17.52552,17.16631,16.98474
0.0467375,18.47016,17.31639,16.74903,16.40275,16.14113
0.07753369,19.57887,18.32379,17.73482,17.34055,17.11333
0.08615312,19.17242,17.41464,16.52968,16.07105,15.74725
0.06843127,18.5338,16.64879,15.76905,15.35643,15.04345
0.0517508,19.14701,17.27982,16.34175,15.89709,15.54938
0.09686886,20.62006,19.15607,18.46349,18.07876,17.77243
0.02642552,18.47244,17.63718,17.34308,17.15974,17.05454
0.06844446,19.7644,18.11599,17.23534,16.85369,16.56332
0.0783278,19.3795,17.80888,17.04526,16.64783,16.36074
0.07827831,19.84888,17.67002,16.71888,16.29943,15.96225
0.06096453,21.16499,18.55793,17.69797,17.23097,16.83735
0.04512627,18.89772,17.83237,17.47115,17.21535,17.10176
0.05096815,19.40877,18.00082,17.3618,17.01085,16.76114
0.05489538,19.76041,18.75293,18.37305,18.09532,17.9136
0.0755448,19.34022,18.17766,17.6668,17.36042,17.21884
0.0810523,18.64254,17.75351,17.49737,17.18262,17.1888
0.05014106,17.31746,16.06465,15.44645,15.0671,14.76152
0.08970746,19.07109,17.10649,16.16675,15.73431,15.38806
0.09937485,17.71035,16.43889,15.87128,15.49743,15.31044
0.08185708,20.52305,18.73343,17.77416,17.27495,16.92278
0.02785795,16.8531,14.80428,13.95368,13.54568,13.23673
0.09341794,18.25597,17.31498,16.91969,16.56898,16.47263
0.09750819,19.88185,17.97593,17.04571,16.6438,16.32659
0.07689589,20.0224,18.43575,17.60192,17.15384,16.85205
0.03706887,19.33618,17.4199,16.57333,16.17765,15.83948
0.04490568,19.10504,17.56455,16.78291,16.38429,16.05901
0.09823182,19.95241,18.83782,18.49236,18.23363,18.20235
0.06039347,19.01181,17.22462,16.4024,16.01815,15.72682
0.09322094,20.40434,18.6341,17.8099,17.4291,17.12943
0.06694305,18.8668,17.04585,16.2009,15.83122,15.5053
0.08699718,18.61903,17.49906,16.97792,16.63044,16.45037
0.08702874,18.88971,17.93283,17.5824,17.24093,17.14638
0.06823637,19.88288,18.43705,17.71277,17.34043,17.09416
0.0839655,18.98792,17.70302,17.18574,16.83984,16.65419
0.05954428,19.50071,18.08702,17.61928,17.30349,17.00387
0.07933617,19.68618,17.94594,17.13765,16.76448,16.46625
0.0815066,18.5661,17.31524,16.71364,16.36905,16.17914
0.08282754,19.33073,18.08549,17.57264,17.19323,16.96609
0.04919307,18.33671,17.01198,16.33349,15.97467,15.69683
0.0406733,17.40731,15.52736,14.67745,14.26962,13.95226
0.08632898,18.90353,17.04308,16.06085,15.59745,15.21156
0.08359129,18.3942,16.39658,15.42191,14.96732,14.62014
0.07974486,19.46184,18.32066,17.82026,17.48612,17.29688
0.07153282,20.17437,18.43269,17.64395,17.26525,17.01428
0.09841076,19.32771,18.26286,17.89058,17.56174,17.43668
0.01800457,17.51354,16.28538,15.76876,15.51247,15.30353
0.07812499,19.70889,18.47092,17.78834,17.36716,17.16805
0.04991153,18.12203,16.34515,15.53511,15.11832,14.75487
0.03551874,18.85737,17.61917,16.98928,16.67054,16.44277
0.0790507,19.83455,17.7431,16.73697,16.21797,15.78217
0.07085665,18.00518,15.84146,14.93368,14.51281,14.19966
0.0872307,18.88364,17.36314,16.52736,16.0889,15.75948
0.0931617,20.89313,18.74751,17.72077,17.29435,16.92829
0.02060224,17.24857,16.14589,15.66415,15.4204,15.23015
0.06055337,17.23412,15.1815,14.16992,13.67765,13.30424
0.07515954,19.63186,17.70923,16.747,16.29019,15.94674
0.06914107,18.13288,17.20086,17.00609,16.76585,16.82684
0.06996254,18.49456,17.03032,16.35028,16.03156,15.80428
0.0393281,17.76759,16.27207,15.616,15.24779,14.97264
0.09968811,18.65408,17.76126,17.4279,16.99267,16.9419
0.07640912,18.57304,17.89486,17.76413,17.31276,17.45879
0.044495,18.00297,16.8084,16.32209,16.03524,15.92436
0.04412444,19.27266,17.63773,16.84516,16.46096,16.15451
0.03683192,19.36254,17.88229,17.61222,17.40296,17.3396
0.08494254,20.00955,18.13828,17.22285,16.79888,16.48583
0.03672473,17.7097,16.5364,16.09635,15.83716,15.64682
0.0751188,19.12516,17.29915,16.39025,15.95879,15.63748
0.0660563,18.75212,17.03982,16.33242,16.01405,15.78124
0.05206358,18.5965,17.55496,17.24841,17.00096,16.89678
0.08495665,20.06023,18.14517,17.17946,16.66098,16.25914
0.06795294,17.76745,16.09994,15.39119,15.00559,14.72347
0.06526081,18.432,17.00449,16.27257,15.86889,15.58059
0.03413158,17.68923,16.32863,15.66345,15.29603,15.04012
0.08264607,19.67049,17.83795,16.97016,16.55537,16.20425
0.09552325,18.74827,16.76105,15.69002,15.16655,14.75089
0.0130411,19.25905,18.11696,17.74639,17.67842,17.52227
0.05788472,18.26682,17.15001,16.64704,16.30788,16.11719
0.0328655,17.67128,16.6362,16.14084,15.88376,15.67909
0.0519655,19.81665,17.92957,17.05904,16.64589,16.36916
0.02295394,18.91979,17.85847,17.46724,17.2724,17.14847
0.06543942,18.0285,16.6199,15.8853,15.4511,15.20925
0.007836534,18.86888,18.05578,17.75239,17.76572,17.58708
0.0666275,18.86353,17.64924,17.04825,16.71188,16.52695
0.04590634,18.79822,16.92026,16.08467,15.68179,15.34557
0.05863504,20.05004,18.21183,17.3702,16.93993,16.66583
0.09326451,18.66619,17.41288,16.8571,16.4937,16.31234
0.051982,20.17448,18.50079,17.73086,17.38738,17.12469
0.04923498,18.8461,17.02047,16.19301,15.79689,15.50193
0.04821615,17.3633,15.80889,15.00139,14.58566,14.29798
0.007636942,19.58001,17.57181,16.9491,16.60934,16.26942
0.06726722,19.70115,17.89671,16.98996,16.65662,16.28887
0.0366137,20.25596,18.46845,17.55216,17.0593,16.64935
0.03183198,17.80369,16.91477,16.6588,16.5205,16.46211
0.0987412,19.45342,18.22734,17.68879,17.39658,17.16769
0.08482437,18.25543,17.0237,16.4402,16.0733,15.84474
0.03618763,20.01944,18.96993,18.47671,18.20932,17.95909
0.08750633,19.36635,17.58208,16.65075,16.22919,15.9019
0.03078865,19.01506,17.24448,16.46851,16.11871,15.83367
0.08540957,19.61814,17.54708,16.57581,16.13536,15.78978
0.06631304,20.27908,18.37646,17.53437,17.12759,16.84359
0.06296344,18.6888,17.55981,17.06438,16.74632,16.59618
0.08388381,20.15275,18.14425,17.15937,16.71356,16.36771
0.0559765,19.25744,17.35941,16.37609,15.86656,15.49173
0.06538603,19.46104,17.68756,16.89887,16.51443,16.19538
0.09608547,18.15683,16.42047,15.5607,15.14028,14.80746
0.08498542,19.37234,18.24746,17.686,17.39687,17.15555
0.06229118,16.96139,15.45698,14.64298,14.23215,13.906
0.09130165,19.22018,18.04539,17.40823,17.02498,16.76845
0.0660696,19.36243,17.54688,16.67743,16.25911,15.92717
0.08157724,20.63109,18.83414,17.93142,17.51156,17.23126
0.06504877,19.45662,17.99821,17.3957,17.06209,16.83846
0.04288792,17.8492,16.23931,15.41304,14.94711,14.57905
0.0595326,19.32747,17.85036,17.10964,16.73623,16.38515
0.07009866,19.20133,17.37015,16.50755,16.12963,15.79212
0.07189438,18.74273,17.15272,16.37881,15.96009,15.6597
0.09412657,19.74995,18.00265,17.06845,16.65458,16.30634
