inTable$redshift,u,g,r,i,z
0.2055109,20.97286,19.15801,17.82755,17.26658,16.87551
0.256563,21.91596,20.05961,18.53459,18.00286,17.6446
0.2854466,21.97188,20.2616,18.62175,17.98734,17.64733
0.29876,21.80053,20.04249,18.45263,17.82982,17.47514
0.2138482,21.05259,19.01768,17.68593,17.14694,16.81102
0.2192038,21.67857,19.68586,18.23993,17.73145,17.35106
0.2341845,21.71327,19.33149,17.88639,17.35786,17.01102
0.2649,21.48652,20.11265,18.78796,18.27657,17.88444
0.208281,20.75153,18.87481,17.54014,16.96834,16.58431
0.2474585,22.48008,19.89939,18.4467,17.84931,17.48415
0.239792,21.50368,19.88997,18.45431,17.84815,17.43353
0.2477129,24.48149,23.76953,21.1679,19.96844,21.76244
0.2573328,25.46715,19.17139,17.65333,17.08262,16.79666
0.2084194,21.47038,19.35926,17.98903,17.43324,17.14377
0.2973025,22.0765,19.87801,18.29329,17.72788,17.34782
0.2037652,21.76197,19.29991,18.00179,17.52477,17.17529
0.2485892,21.35866,19.36143,17.88424,17.31388,16.93495
0.2693757,22.99885,20.61094,19.01835,18.29326,17.80634
0.2266422,19.64173,18.83855,17.73029,17.27243,16.92276
0.2069933,21.17971,18.61255,17.22096,16.71881,16.38909
0.2155079,22.63643,20.62228,18.90402,18.1437,17.55263
0.2226488,22.88063,21.89899,20.20303,19.10835,18.67678
0.2266735,22.5162,20.0576,18.56235,17.90716,17.42487
0.2451991,19.68756,18.57699,17.63972,17.17908,16.88064
0.2792553,20.93381,19.3326,17.88987,17.34198,16.91129
0.2081371,21.06977,18.9616,17.67706,17.17301,16.83743
0.2174395,20.51203,18.90075,17.5832,17.05008,16.6757
0.291974,21.51623,20.44118,19.45196,18.98598,18.73057
0.2176062,22.35481,20.1212,18.86441,18.20855,17.8302
0.2821162,21.18954,19.53493,18.11395,17.49871,17.14577
0.2013944,20.87446,18.92186,17.67715,17.13172,16.81447
0.2838773,20.87048,19.41277,17.86353,17.25766,16.84812
0.2654039,21.63108,19.75078,18.23794,17.69875,17.30506
0.2427635,22.04975,19.54905,18.03241,17.46042,17.16048
0.2228728,21.36069,18.50169,16.99636,16.45208,16.07542
0.2645815,20.97421,19.23381,17.67731,17.10138,16.74411
0.2036214,20.94301,18.74778,17.41498,16.88507,16.46091
0.2150015,21.03656,18.93002,17.51177,16.97532,16.57941
0.2874971,23.33416,21.56961,20.37799,19.64393,19.3843
0.2803987,24.1317,19.95097,18.35385,17.77262,17.46336
0.2659272,22.05795,19.53376,18.09941,17.55316,17.20041
0.2541273,21.20078,19.30638,17.83735,17.29678,16.94773
0.2573529,21.65644,19.65629,18.06689,17.5259,17.19199
0.282937,22.72565,20.24796,18.56796,17.8953,17.48449
0.2011676,20.7553,18.94421,17.68269,17.17617,16.85637
0.2041229,19.72673,18.87421,18.26525,17.91434,17.74887
0.2220226,23.16045,19.17638,17.67326,17.11015,16.72186
0.2590052,21.66987,19.65549,18.11755,17.53877,17.20738
0.2287336,21.23183,18.82891,17.37332,16.84565,16.49318
0.2932775,22.26644,21.13845,20.05773,19.61697,19.33767
0.2135178,20.42276,18.69841,17.58117,17.18178,16.90446
0.2820979,22.37441,19.78592,18.1987,17.6536,17.32346
0.2195647,20.0091,18.02219,16.75767,16.24695,15.88929
0.2194362,21.22585,19.13747,17.84724,17.2589,16.87156
0.2134376,20.94014,18.72901,17.33249,16.80927,16.49245
0.2319539,20.98794,18.9509,17.58621,17.08388,16.7805
0.2344276,23.19596,20.24803,18.93488,18.45235,18.14834
0.2587364,21.58127,19.35697,17.75157,17.20844,16.80347
0.213925,23.51641,21.0617,19.75805,19.02494,18.53262
0.2522307,20.96461,18.72403,17.24113,16.68867,16.31407
0.2213766,20.94076,18.86679,17.65037,17.18078,16.78763
0.2458295,22.87807,19.73949,18.23338,17.6331,17.19845
0.2179627,20.82293,18.72644,17.35506,16.79992,16.39026
0.208134,19.59732,18.24724,17.35279,16.94919,16.66936
0.2236696,22.19888,20.30181,19.00546,18.47942,18.1787
0.2256251,21.06973,19.18842,17.80504,17.29045,16.9367
0.2220142,20.68618,18.99837,17.70619,17.20257,16.86842
0.289937,24.71696,19.61466,18.04165,17.43059,17.03847
0.2742212,20.888,19.49233,18.06659,17.51873,17.11491
0.2360039,21.28167,19.5561,18.06734,17.52858,17.13378
0.2506588,22.20817,19.54708,18.07097,17.54548,17.21516
0.2743827,22.87789,20.03555,18.48815,17.9255,17.55882
0.2396651,21.47166,19.62094,18.15359,17.54663,17.16369
0.2115419,21.38977,19.06407,17.75312,17.16206,16.79814
0.2932644,23.91041,20.90961,19.32767,18.69865,18.27533
0.2324653,19.4867,19.10427,18.8016,18.6462,18.77866
0.2203347,22.14596,19.06868,17.69486,17.19091,16.83048
0.2221606,21.95673,19.37438,17.97045,17.43331,17.11363
0.2814069,21.38614,19.12967,17.54068,16.99561,16.68721
0.2422993,21.93223,19.74548,18.18361,17.61237,17.2203
0.2942663,22.17854,20.16614,18.57691,18.00289,17.65089
0.289867,21.90405,19.80823,18.26885,17.69454,17.38065
0.2021855,21.13487,18.934,17.63446,17.13931,16.76759
0.2484313,22.73896,21.90209,20.85635,19.89302,20.1399
0.2590662,22.47877,20.14569,18.52973,17.94619,17.63008
0.2290364,23.10822,20.13627,18.74718,18.19897,17.83186
0.2576712,21.63354,19.91224,18.37611,17.8401,17.47226
0.220908,20.76871,18.73017,17.37029,16.85077,16.51338
0.2481476,19.99263,19.52941,19.07989,18.87971,18.7175
0.2699222,25.21906,20.35849,18.72887,18.10294,17.67982
0.2823464,21.20013,20.38969,19.33849,18.85169,18.478
0.2632318,22.35925,19.69965,18.18697,17.61143,17.23591
0.2085659,21.31972,19.33484,17.86776,17.31886,16.91256
0.2742557,20.93496,19.39678,17.97915,17.46097,17.10682
0.271388,24.35823,19.91505,18.41902,17.83493,17.59514
0.2133384,20.63483,18.33654,16.9892,16.47802,16.13348
0.2621902,23.0047,19.75268,18.20122,17.64345,17.2258
0.2700336,22.44167,19.68949,18.16716,17.58433,17.13862
0.247443,21.22162,19.30255,17.7674,17.20662,16.81082
0.2897188,22.70193,21.26517,19.50257,18.81556,18.33945
0.2922538,22.11777,20.16192,18.51423,17.89072,17.43725
0.2491271,21.66713,19.60468,18.15944,17.63821,17.26212
0.2452114,21.11128,19.39148,18.07692,17.50068,17.1948
0.2459746,22.5927,19.30181,17.64529,17.07799,16.67848
0.2102994,19.15934,18.50769,18.11287,17.85837,17.77763
0.2994634,22.80189,19.88457,18.32083,17.72366,17.39971
0.2004493,20.83013,18.9239,17.63641,17.15961,16.78756
0.2240466,20.97897,18.93192,17.58093,17.10212,16.75817
0.2268734,20.56147,18.61429,17.31986,16.82339,16.48602
0.2185445,20.8122,18.6561,17.22664,16.69941,16.34044
0.2525581,21.77953,19.05603,17.56238,17.09988,16.64982
0.2970325,22.30416,19.89463,18.31448,17.7672,17.4628
0.2332516,22.35312,19.3806,17.89977,17.36121,16.97366
0.2687103,21.36586,20.25458,19.02897,18.52622,18.18164
0.2709549,21.94379,19.76985,18.15892,17.59829,17.23993
0.2380009,21.42202,19.34982,17.88778,17.34954,16.96237
0.2295756,20.83893,19.12064,17.75931,17.25317,16.93349
0.2186744,21.62001,19.43364,17.99494,17.455,17.08575
0.2737949,23.67262,20.02016,18.47487,17.92323,17.58316
0.2237454,20.14274,19.42529,18.99343,18.70615,18.49901
0.2333106,19.89807,18.39707,17.32422,16.84648,16.53554
0.2083272,20.76464,18.61066,17.23491,16.68372,16.30958
0.2005727,21.38914,19.25437,17.88768,17.33599,16.92627
0.231187,20.63799,18.70124,17.21394,16.65786,16.26809
0.2764388,22.5797,19.64595,18.07405,17.43942,16.97914
0.2663641,22.50047,21.22853,19.55412,18.83149,18.38778
0.245628,22.39234,20.03503,18.45523,17.88355,17.52547
0.2722317,21.64329,19.40914,17.98603,17.44195,17.06393
0.2262907,21.30506,19.17117,17.66154,17.13962,16.79164
0.2283999,21.32959,19.44105,17.99586,17.4297,17.08646
0.2052189,20.4928,18.32683,17.02202,16.53279,16.17591
0.2235712,22.2128,19.87252,18.47365,17.81291,17.3568
0.2074578,19.88561,18.35185,17.17599,16.67018,16.34267
0.2020381,20.47928,18.40764,17.06258,16.52586,16.21169
0.2675948,20.85409,20.13331,19.22075,18.90277,18.59085
0.2093792,22.71695,19.58923,18.11262,17.54803,17.12673
0.2865433,22.18056,21.51066,20.17614,19.38019,18.89357
0.2621262,22.09631,19.69493,18.15271,17.5642,17.18939
0.2161742,21.33675,19.1193,17.71016,17.19452,16.82076
0.2147524,20.92419,18.86197,17.57223,17.06125,16.72498
0.2072115,20.99861,19.09123,17.76612,17.24188,16.90145
0.2542241,25.28139,21.06513,19.60317,18.98074,18.59512
0.2656758,22.03238,19.75915,18.24926,17.67145,17.32403
0.2130562,21.12048,19.25961,17.92157,17.35185,16.93764
0.2238349,21.36784,19.42018,17.98836,17.44035,17.12761
0.2997327,21.18574,19.90235,18.5452,17.98227,17.61673
0.2153887,20.37938,18.66963,17.4796,16.97531,16.64231
0.2350099,21.05638,19.02086,17.67975,17.21437,16.92368
0.2588915,20.9695,19.2396,17.78463,17.22416,16.90877
0.225415,20.90192,18.92354,17.56252,17.01491,16.66
0.2193702,22.01683,19.2734,17.90648,17.40181,17.03315
0.2103984,20.63503,18.64682,17.3715,16.82535,16.48727
0.2099971,23.62439,19.28628,17.87372,17.30023,16.92865
0.2168048,20.5976,18.51199,17.14877,16.64885,16.28809
0.2622225,22.39169,20.29167,18.64189,17.99798,17.56813
0.2087034,20.31879,19.34117,18.58098,18.16154,18.0006
0.2448218,22.5967,19.76463,18.22035,17.65512,17.29595
0.2769887,23.8213,19.71672,18.20391,17.59398,17.20434
0.2655385,24.07733,19.9428,18.36979,17.80451,17.47655
0.2651173,21.97937,19.76916,18.29403,17.71512,17.39462
0.2934863,21.45095,20.1972,19.09337,18.55794,18.20296
0.2317313,21.90993,19.33737,17.90912,17.41043,17.05424
0.243211,22.51799,19.42405,17.96308,17.46037,17.08716
0.2349827,21.83427,19.82088,18.2829,17.73207,17.41763
0.2332621,20.7845,18.7492,17.3452,16.78831,16.39895
0.2610286,22.16825,19.31496,17.81617,17.27715,16.92479
0.2880234,22.48848,19.70587,18.14306,17.56725,17.18755
0.2200917,21.6277,19.3953,17.95424,17.43324,17.09285
0.2584411,20.60435,19.83304,19.04032,18.71154,18.43856
0.2834698,21.34226,19.46897,17.96335,17.39698,17.06182
0.2197284,20.45074,18.51147,17.28762,16.85193,16.55182
0.230133,20.86922,18.44478,16.95297,16.41677,16.09238
0.219098,22.20746,20.72325,19.36416,18.83474,18.46037
0.2474283,21.27781,19.31208,17.85623,17.32811,16.94388
0.2539404,21.53104,19.13855,17.74157,17.10881,16.78981
0.2174139,21.67087,19.30923,17.8864,17.35301,16.9943
0.2210736,21.60546,19.39538,17.99311,17.4151,17.00893
0.2904379,21.96908,19.78205,18.19588,17.57898,17.28508
0.2691107,22.51046,19.74793,18.15546,17.61509,17.23089
0.2256702,21.2693,19.19041,17.82097,17.30806,16.98454
0.2692946,21.18939,19.41764,17.85646,17.32133,16.94331
0.2518812,21.01021,19.11633,17.73492,17.11832,16.71176
0.2531238,20.68921,19.9775,19.38629,19.10416,18.87449
0.2426989,22.30141,19.91784,18.36546,17.77371,17.33725
0.279865,22.80151,20.02649,18.50839,17.93262,17.58969
0.2651896,21.98232,19.87824,18.33739,17.79502,17.48225
0.2502151,21.27483,19.38333,17.85062,17.28724,16.94706
0.2634787,21.75024,19.68353,18.12361,17.51442,17.10132
0.2218582,22.04506,19.66534,18.19404,17.56882,17.25091
0.2284051,21.55673,19.56885,18.12232,17.56598,17.15437
0.2399931,21.16534,19.06449,17.54041,16.98617,16.55109
0.2927688,21.08316,18.57881,17.44385,16.93964,16.5638
0.2859999,21.574,19.76585,18.1651,17.59362,17.2013
0.2958837,21.67691,21.08749,20.25508,19.8919,19.70294
0.2013375,21.13654,18.9654,17.57035,17.05161,16.69174
0.289339,21.20262,19.3029,17.83677,17.23929,16.85918
0.2578379,21.99046,19.13784,17.66426,17.12444,16.76668
0.2516239,21.53242,20.37412,19.37908,18.97067,18.65242
0.2778585,23.76176,19.88154,18.30143,17.70406,17.35015
0.2714179,22.72014,19.4723,17.943,17.3734,17.01495
0.2401155,21.37873,19.23926,17.87346,17.31611,17.02786
0.2152531,24.55994,20.32463,18.83766,18.14911,17.81653
0.2526325,21.74846,19.59341,18.13743,17.62138,17.23108
0.2949166,21.61455,20.25845,18.63606,18.01615,17.66009
0.2199023,21.92991,19.31604,17.87351,17.3068,16.92585
0.2186032,21.40925,19.49149,18.06516,17.53874,17.19983
0.2395223,21.99492,19.53467,18.03584,17.50176,17.15692
0.2170084,20.0715,18.5578,17.39045,16.87408,16.51136
0.299629,22.29442,20.82913,19.16856,18.45586,18.19382
0.243184,22.20882,19.74743,18.21393,17.67716,17.32784
0.2074212,21.06886,18.95799,17.75136,17.31777,16.99622
0.2948719,21.5818,19.59218,18.06861,17.45821,17.08666
0.2618969,22.88423,20.25209,18.72207,18.17382,17.82553
0.2041055,22.50644,21.72592,20.26761,19.53224,19.14582
0.2024009,21.84344,19.91982,18.5902,18.10028,17.80588
0.242405,21.55521,19.18127,17.71563,17.17778,16.86826
0.2194746,21.81888,18.80433,17.40147,16.83862,16.3987
0.2938415,21.59227,19.93495,18.27915,17.68609,17.32125
0.2723,20.60452,19.12003,17.64667,17.0808,16.72813
0.2915583,21.49409,20.21771,18.68572,18.08254,17.63171
0.2099525,21.31307,19.383,18.01504,17.44356,17.0941
0.231827,21.42735,19.40982,17.90468,17.37955,17.02408
0.2959228,23.41048,20.76418,19.26793,18.6484,18.27475
0.2194728,19.51131,18.90641,18.49395,18.33323,18.2452
0.2023251,21.73935,19.31211,17.94855,17.42086,17.05682
0.2480055,21.83408,19.50223,18.01199,17.47128,17.12726
0.2229188,21.33188,19.25298,17.87318,17.34426,17.00037
0.2985999,22.99574,20.13281,18.42395,17.80722,17.41141
0.2708252,21.98857,19.73991,18.2621,17.6873,17.30318
0.2694893,22.84928,20.32129,18.77463,18.0938,17.73116
0.2631891,21.6191,19.65556,18.22025,17.68241,17.26639
0.2524999,22.10053,20.63029,19.07299,18.48028,18.08254
0.2708694,21.49947,19.8872,18.34524,17.78083,17.45778
0.2102903,20.89246,18.74282,17.341,16.75437,16.39138
0.2095277,20.87733,18.65765,17.57347,17.04566,16.66506
0.2446152,20.88302,20.53826,19.90625,19.80869,19.66066
0.2495286,21.9241,20.12638,18.62514,18.00466,17.59508
0.2469516,20.12792,18.68295,17.66201,17.23898,16.9059
0.2381537,21.35576,19.47346,17.99001,17.36123,16.9392
0.2354377,19.96304,18.54331,17.23257,16.71668,16.40583
0.2314486,21.19134,18.52925,17.11992,16.5676,16.28689
0.2125292,20.93526,18.79024,17.42961,16.89118,16.51769
0.2238708,20.7838,19.55371,18.54656,18.11623,17.82544
0.2424039,20.9477,18.90209,17.49922,16.98212,16.6217
0.2475635,21.56875,19.36509,17.91278,17.39256,16.99211
0.2292363,21.2397,20.02849,18.97044,18.3306,17.90515
0.2196857,20.95404,19.08115,17.67516,17.13956,16.7591
0.265468,26.40557,18.59794,16.83818,16.3088,15.95337
0.2056942,20.70229,18.6323,17.26411,16.73488,16.35437
0.2885306,22.16084,20.22333,18.62893,17.97603,17.67389
0.2195652,20.1903,18.80506,17.8091,17.31024,16.98972
0.2099797,21.66064,19.92404,18.58691,18.02706,17.68157
0.2177481,22.23213,20.74679,20.03375,19.66077,19.32633
0.2254755,21.77268,19.07692,17.75026,17.21526,16.8287
0.2380999,21.50666,19.40569,17.95063,17.42951,17.08667
0.2914438,21.70529,19.56532,17.97792,17.41878,16.97586
0.2696391,21.92369,19.54765,17.94264,17.31573,16.90583
0.2373062,21.54873,19.18042,17.70016,17.15493,16.78403
0.2494757,20.88372,18.80981,17.29667,16.76354,16.40406
0.2859675,22.37004,19.80863,18.3069,17.75419,17.36037
0.2100352,20.87912,19.0379,17.79425,17.29078,17.02121
0.2526275,21.70687,19.63948,18.15568,17.63943,17.27065
0.268607,24.13033,19.90684,18.39593,17.7925,17.46186
0.2433871,21.26208,19.42814,17.91451,17.33148,16.97682
0.2621022,22.16878,19.81596,18.29076,17.73603,17.39976
0.231632,22.19483,19.15078,17.77975,17.28135,16.90299
0.279048,21.85282,19.04823,17.41159,16.85083,16.52438
0.2742376,20.68546,19.01582,17.74971,17.25443,16.94217
0.252004,21.70831,19.95271,18.41664,17.84046,17.45858
0.286587,26.69754,19.71195,18.09959,17.51206,17.16879
0.2361628,25.37736,22.07369,21.34385,20.03963,20.02138
0.2859184,20.989,18.98994,17.42257,16.85606,16.49909
0.2834338,22.29429,20.13728,18.56248,18.01446,17.67322
0.2842963,22.30354,20.22254,18.60939,18.02758,17.69478
0.2704798,20.29532,18.76983,17.47628,16.96361,16.60319
0.2496354,24.95939,19.62344,18.07867,17.51981,17.14244
0.2163768,19.4463,18.30095,17.44172,16.99732,16.70452
0.2206536,22.05637,18.96942,17.60411,17.06161,16.855
0.2183151,20.10239,19.37685,18.88411,18.57143,18.41016
0.2955281,22.0445,20.30226,18.65544,18.05722,17.72572
0.2764567,21.73101,19.92128,18.37878,17.82281,17.37945
0.2349574,21.08147,19.29281,17.80805,17.22417,16.79622
0.2207711,20.41654,18.67201,17.39113,16.82099,16.43995
0.2782586,21.16157,19.21208,17.82617,17.31385,16.94778
0.2764536,22.25653,19.66162,18.13508,17.56347,17.22845
0.2962997,23.34766,20.43446,18.74001,18.17179,17.76553
0.2883699,25.74492,20.26318,18.53006,17.89386,17.42476
0.213746,21.26446,19.27205,17.86484,17.32833,16.97198
0.2721364,21.38439,19.33538,17.87858,17.31905,16.89938
0.2426404,21.70968,19.78142,18.28859,17.73222,17.34198
0.2158697,21.73478,19.78606,18.29148,17.74199,17.35544
0.207863,20.18747,17.84838,16.50297,15.95948,15.66838
0.2361849,23.49371,20.00857,18.47586,17.87257,17.4841
0.2313007,21.51098,19.17232,17.72088,17.22617,16.85046
0.2396072,21.28599,19.2481,17.78377,17.17729,16.86647
0.2311219,21.0816,19.14654,17.65092,17.10596,16.69686
0.2630049,21.86118,18.99004,17.43382,16.90997,16.50569
0.2453191,21.49236,18.74427,17.23372,16.71104,16.3512
0.2772713,24.0047,20.08632,18.55348,17.97684,17.61246
0.2297967,21.54227,19.14118,17.70615,17.17091,16.77981
0.2985302,22.26513,19.87742,18.24868,17.63289,17.18739
0.2449448,23.4337,19.5658,18.08357,17.53048,17.21217
0.2306537,25.93209,20.86263,19.13181,18.40298,17.8505
0.229094,22.89205,19.39092,17.87448,17.30602,16.86177
0.29747,22.11631,20.11917,18.49459,17.90145,17.48932
0.2928167,23.20533,19.91722,18.31227,17.70522,17.33375
0.2182137,21.17678,19.09668,17.61277,17.04757,16.58984
0.2011809,20.96028,19.20812,18.10235,17.62417,17.28898
0.2764359,21.42235,19.80725,18.29899,17.70501,17.3296
0.2704328,22.193,19.84911,18.35055,17.78543,17.40333
0.2218636,21.25712,19.49023,18.09589,17.52488,17.13406
0.2743411,25.18073,20.80509,19.0506,18.56769,18.1942
0.2778337,21.25141,19.70077,18.31908,17.82058,17.47047
0.2724675,22.45363,19.82787,18.19469,17.57462,17.18004
0.2716912,22.34955,19.8842,18.30758,17.70421,17.36773
0.2487588,21.37524,19.29375,17.85864,17.29738,16.92855
0.2321679,20.08632,18.5063,17.32355,16.82386,16.4984
0.2973786,21.95763,20.11791,18.45318,17.84987,17.47275
0.2976076,22.98755,19.86364,18.27788,17.68695,17.39974
0.2529755,20.40556,18.78885,17.7517,17.30691,17.02274
0.2109876,20.65338,18.88319,17.65447,17.1588,16.81821
0.2792091,22.5933,20.41916,18.81852,18.20548,17.85399
0.2818072,22.53378,19.77928,18.19125,17.6208,17.2641
0.2131302,21.66824,19.91003,18.82019,18.31791,17.93728
0.2881385,23.28897,21.59206,20.40737,19.63071,19.29848
0.2337602,21.71235,19.97201,18.52108,17.8965,17.44452
0.2259884,19.72939,18.17315,17.0352,16.4743,16.11702
0.2007264,20.90876,18.71834,17.42119,16.9296,16.52551
0.280793,22.14949,20.17951,18.63148,18.01996,17.68216
0.2498157,21.52518,19.40389,17.9509,17.39556,17.0174
0.2655766,24.41656,20.23265,18.53322,17.92662,17.50443
0.2277984,20.58444,19.67536,18.76714,18.39629,18.14002
0.2172837,21.19924,20.26423,19.48237,19.09022,18.99169
0.2126532,21.16288,18.92389,17.50621,16.98113,16.65216
0.2731148,23.14065,18.57404,16.95608,16.38843,16.04787
0.2177279,20.44246,18.83422,17.58879,17.13605,16.83404
0.2967931,25.03222,20.58986,18.85573,18.25602,17.89528
0.2073489,20.93687,19.55172,18.65707,18.24843,17.89436
0.239815,22.0708,19.87576,18.30704,17.66631,17.2141
0.249469,23.31045,19.75373,18.29773,17.74931,17.41011
0.2815834,22.5532,20.1834,18.5409,17.99665,17.63494
0.2264923,19.76771,18.55249,17.7284,17.31994,17.03916
0.2297881,20.29908,18.66131,17.39147,16.87313,16.5416
0.2616108,21.60617,19.11768,17.77784,17.29427,17.02614
0.2502008,21.65278,19.05783,17.61082,17.01338,16.644
0.2829621,22.13854,19.32318,17.82571,17.2702,16.87517
0.2552744,23.51141,21.58981,20.30575,19.5449,19.28721
0.2131592,20.96778,19.21313,17.89226,17.3215,16.92535
0.2190598,21.11882,18.99516,17.62195,17.08898,16.75387
0.2156711,21.48358,19.98645,18.40376,17.73229,17.28916
0.2666074,22.585,19.95405,18.44696,17.80889,17.41734
0.288496,21.82824,19.85239,18.41684,17.78743,17.31792
0.2247587,21.07001,18.91101,17.52324,17.00552,16.63578
0.2817026,21.56516,19.63754,18.06244,17.4831,17.1372
0.2512032,21.98904,19.36942,17.88062,17.3305,16.93299
0.2177023,21.6361,20.66408,19.80403,19.34736,19.14278
0.2087858,20.03591,19.11099,18.58992,18.28528,18.21205
0.2570935,21.72542,19.40296,17.94715,17.4562,17.11164
0.2402021,21.76319,19.43077,17.92283,17.41692,17.12071
0.2309944,22.34861,19.78233,18.22799,17.71028,17.37214
0.2394276,20.1439,18.5283,17.22854,16.71625,16.36796
0.2163894,20.83427,18.56029,17.26096,16.69747,16.3264
0.2471797,22.8839,21.0888,19.34882,18.62119,18.0712
0.2161715,21.70889,19.48691,17.96961,17.38408,16.94555
0.2190037,21.70587,19.28496,17.87116,17.32111,16.8856
0.208961,21.05727,19.01048,17.61531,17.10036,16.72696
0.2243064,19.7109,18.35734,17.43505,16.90032,16.61433
0.2968505,21.52723,20.6553,19.87639,19.63573,19.34636
0.2912382,21.87238,20.70451,19.56828,19.00332,18.5222
0.205129,21.56768,19.87243,18.48666,17.96408,17.64484
0.2767181,21.35315,19.46953,18.02667,17.44395,17.12442
0.22731,21.45255,18.76699,17.32823,16.84252,16.5209
0.2531302,21.35433,19.45266,18.01703,17.47203,17.11217
0.2272232,20.83187,19.73869,18.87012,18.38715,18.15909
0.2623415,22.17604,19.64063,18.18233,17.60837,17.29911
0.276775,22.99885,19.89144,18.30497,17.72267,17.33659
0.2881241,22.12993,20.10678,18.524,17.88036,17.53973
0.287387,21.58062,19.92796,18.38461,17.8211,17.42381
0.2990196,22.93639,20.50464,18.85878,18.22332,17.88438
0.2799557,21.3361,19.81056,18.24504,17.69152,17.34982
0.2129618,20.52404,18.63906,17.33055,16.80963,16.4386
0.268,21.77276,19.68959,18.22503,17.67659,17.30254
0.2267259,20.89763,18.76922,17.41453,16.92546,16.58154
0.2151838,18.78476,17.88554,17.22773,16.78527,16.55577
0.2251418,21.47513,19.60469,18.14302,17.60733,17.2643
0.2669392,20.36394,18.71662,17.64944,17.19339,16.84181
0.293772,22.23693,20.78396,19.58329,19.16908,18.83014
0.2654917,24.05022,21.26051,19.62246,18.78986,18.3293
0.2337623,22.15253,20.0016,18.45155,17.8306,17.38396
0.2422261,20.37172,18.66713,17.31942,16.76259,16.39806
0.2297925,21.90956,19.79818,18.32617,17.71917,17.33553
0.2980896,19.48374,20.10777,18.55556,17.83247,17.38888
0.2980314,22.08566,20.45562,18.80177,18.15642,17.76635
0.2403279,21.56647,19.39041,17.94971,17.41666,17.09332
0.2001862,19.967,18.49697,17.46665,17.01847,16.72478
0.2010569,20.93248,18.99166,17.69297,17.20998,16.87925
0.2738931,21.4806,19.62484,18.06054,17.4528,17.06848
0.2586065,21.69634,19.13234,17.78945,17.20275,16.74024
0.2945279,22.15575,20.8954,19.41996,18.79528,18.4284
0.2488192,23.42201,20.02033,18.56829,17.92391,17.49489
0.2301777,21.63533,19.66027,18.25092,17.68429,17.34515
0.288498,23.77455,21.2774,19.69304,19.09728,18.75941
0.2246525,20.89232,19.25696,17.89739,17.39388,17.05913
0.253508,21.10808,20.11069,19.13978,18.69517,18.35847
0.2046412,21.13212,18.49964,17.13672,16.64412,16.37947
0.2234612,21.77128,19.35336,17.83977,17.26786,16.85375
0.2426801,21.5664,19.14221,17.62608,17.05042,16.69439
0.2509163,21.65881,19.58377,18.15094,17.57685,17.21679
0.2846523,20.90694,19.64806,18.21409,17.61086,17.25378
0.2235625,21.60868,19.24014,17.856,17.35666,17.02092
0.273609,21.65572,19.99818,18.43814,17.82868,17.46987
0.2790442,22.24494,19.98027,18.43843,17.86323,17.48182
0.214862,23.19075,20.77005,19.37695,18.87017,18.53362
0.2780699,22.16652,20.52534,19.16792,18.68923,18.15817
0.2991188,22.11581,20.29893,18.61178,18.03022,17.67178
0.2735716,22.14908,19.72502,18.16876,17.58298,17.17634
0.2778401,21.88953,20.05613,18.48744,17.90277,17.47612
0.2683085,21.72408,20.36772,18.72758,18.14359,17.67863
0.2773664,21.10101,18.92078,17.36474,16.79199,16.49079
0.2002951,21.64432,19.85172,18.35155,17.6771,17.19041
0.27035,22.82378,20.0979,18.61264,17.90213,17.48199
0.2917639,21.82969,19.44269,17.90665,17.36174,16.98479
0.2407344,21.23613,19.43398,18.17339,17.66177,17.27422
0.2105343,20.18794,18.42482,17.1075,16.60545,16.27727
0.259398,21.64048,19.62375,18.14122,17.61559,17.30528
0.2951315,23.70276,20.23735,18.48501,17.83665,17.45583
0.2397554,21.20207,19.69156,18.18484,17.57134,17.18822
0.2322966,21.46507,19.25131,17.81856,17.29957,16.93576
0.2414211,21.58284,19.48999,18.06903,17.52396,17.13918
0.2861242,22.69373,20.35837,18.63485,18.02638,17.71041
0.2186478,21.47112,19.51679,18.10893,17.48124,17.042
0.222266,21.25122,19.5176,17.97721,17.35511,16.98038
0.2036212,20.70594,18.5918,17.27342,16.76004,16.42421
0.2469542,21.06511,19.18412,17.75512,17.19333,16.86994
0.2077821,20.11372,18.56701,17.42947,16.94519,16.61101
0.2031937,20.48444,18.29211,16.81092,16.23599,15.81432
0.2943771,23.42711,20.25796,18.64784,18.03552,17.76713
0.253356,22.12376,19.60029,17.95885,17.37129,16.96002
0.2157654,21.43217,18.91674,17.4992,16.86792,16.46139
0.2129886,20.66479,18.65913,17.30481,16.79838,16.41235
0.2346656,20.21722,19.26663,18.65758,18.288,18.13721
0.2944422,22.04944,19.36815,17.68466,17.04311,16.59204
0.2966665,23.85916,20.18192,18.53698,17.90167,17.52361
0.2680615,22.03904,20.00016,18.47463,17.92229,17.59692
0.2042726,20.89721,20.09444,19.3379,19.04081,18.87901
0.2099835,19.97988,18.65328,17.60257,17.13119,16.77269
0.2727344,21.52892,19.60345,18.11485,17.52733,17.22161
0.2485385,21.03353,20.5459,19.95933,19.93743,19.78325
0.2058262,20.51911,18.53074,17.16265,16.65151,16.28664
0.2986267,24.45628,19.86694,18.18889,17.59299,17.23563
0.2727849,20.31639,19.56972,18.53063,18.08958,17.72085
0.2653519,20.77357,18.85099,17.41437,16.85377,16.46957
0.2835414,21.44317,20.2231,19.07964,18.62408,18.32908
